apellido,frec_pri,frec_seg
ROSAS,2318,2492
MEZA,2287,2234
MOLINA,2254,2327
TREJO,2212,2245
ROSALES,2144,2213
PACHECO,2143,2195
NAVARRO,2128,2152
SALGADO,2125,2004
AGUIRRE,2100,1980
SALAS,2002,2026
VELASCO,1973,1789
CARDENAS,1969,2034
PINEDA,1966,1795
OROZCO,1948,1927
SERRANO,1929,1891
RANGEL,1894,1850
VALENCIA,1883,1840
SOSA,1879,2008
VASQUEZ,1877,1962
VALENZUELA,1857,1958
TAPIA,1838,1866
BARRERA,1805,1829
ARELLANO,1804,1686
FIGUEROA,1802,1829
PADILLA,1774,1835
AYALA,1769,1855
HUERTA,1760,1766
DURAN,1747,1698
SALINAS,1739,1714
MONTES,1735,1787
MORA,1734,1618
CALDERON,1732,1617
MARIN,1708,1646
CUEVAS,1702,1644
VILLANUEVA,1694,1641
PALACIOS,1690,1711
OLVERA,1671,1723
ESCOBAR,1666,1572
SUAREZ,1646,1608
BENITEZ,1645,1616
GALLEGOS,1645,1608
FRANCO,1636,1591
OCHOA,1632,1738
CANO,1618,1550
ZAMORA,1614,1573
BELTRAN,1610,1634
VILLEGAS,1607,1728
MACIAS,1592,1585
ZAVALA,1566,1474
LOZANO,1555,1533
ALONSO,1513,1363
GALVAN,1500,1493
OSORIO,1496,1530
PEÑA,1486,1433
ROMAN,1463,1630
TRUJILLO,1463,1493
GARZA,1461,1490
PONCE,1440,1341
PERALTA,1435,1450
GALINDO,1411,1390
LEYVA,1399,1488
NUÑEZ,1393,1511
CORONA,1386,1379
ZARATE,1376,1495
ANDRADE,1374,1256
BERNAL,1374,1423
TOLEDO,1369,1310
RUBIO,1333,1377
ARIAS,1321,1308
BRAVO,1305,1234
MATA,1291,1235
PARRA,1289,1342
CASTAÑEDA,1288,1240
ANTONIO,1279,1149
ENRIQUEZ,1279,1333
VERA,1252,1214
CISNEROS,1251,1113
RIVAS,1237,1161
MONTOYA,1234,1319
OLIVARES,1234,1144
ROCHA,1232,1262
CASTELLANOS,1222,1164
ZUÑIGA,1216,1176
ARROYO,1213,1209
ESQUIVEL,1203,1209
QUIROZ,1182,1130
NAVARRETE,1180,1184
VILLALOBOS,1168,1119
VILLA,1161,1282
GUEVARA,1155,1085
ANGELES,1153,1144
TOVAR,1145,1131
CORDOVA,1130,1091
VILLARREAL,1127,977
CARMONA,1124,1136
QUINTERO,1123,1106
GALLARDO,1107,1081
DE LA ROSA,1094,1028
OCAMPO,1066,1089
TELLEZ,1061,1079
ZAPATA,1054,967
CABALLERO,1053,1022
ESPARZA,1046,1090
MONTIEL,1046,1054
BECERRA,1037,954
LUGO,1024,991
DAVILA,1015,982
SANTANA,1014,945
DE LEON,1012,1122
REYNA,1009,948
GALICIA,1005,1115
PAREDES,999,913
MUNOZ,990,986
ALARCON,984,996
NAJERA,980,1012
ACEVEDO,975,987
OJEDA,969,963
MERCADO,966,943
GUERRA,961,892
GUILLEN,949,925
MURILLO,944,959
AVALOS,936,976
BARRIOS,935,978
FELIX,926,1020
BELLO,924,957
SOLANO,908,939
CHAN,907,893
RENDON,907,827
ESCAMILLA,900,930
ESCOBEDO,894,789
SAUCEDO,890,896
AMADOR,886,878
LEAL,885,919
CORTEZ,868,938
SEGURA,863,827
PALMA,853,889
URIBE,851,903
BLANCO,849,888
ALTAMIRANO,847,841
NIETO,847,870
RESENDIZ,840,890
SIERRA,828,782
ISLAS,822,806
MONROY,822,859
BONILLA,819,763
ALFARO,814,735
VALLE,811,806
GRANADOS,802,847
AVILES,795,764
BARRON,791,780
BARAJAS,788,760
ESCALANTE,787,841
CARRASCO,784,782
ARTEAGA,780,722
GIL,778,753
DUARTE,769,738
MELENDEZ,767,790
VALDES,766,784
VENTURA,758,745
AQUINO,747,754
BARRAGAN,743,686
ARRIAGA,741,782
ARENAS,735,673
BAEZ,735,676
MONTERO,732,612
PECH,731,732
MENESES,730,611
DEL ANGEL,729,695
ARMENTA,728,734
GODINEZ,721,693
BALDERAS,715,707
VIDAL,712,616
CARBAJAL,706,784
JAIMES,701,686
QUEZADA,700,614
CORONADO,697,668
MAY,689,688
CANTU,685,671
ARREDONDO,682,639
VARELA,682,662
AGUILERA,677,649
SORIANO,673,716
SANTIZ,672,684
GALVEZ,671,644
ZEPEDA,667,695
SOTELO,665,652
ARCE,656,662
ROMO,656,589
CHI,655,599
CARRANZA,652,578
HIDALGO,648,701
GAYTAN,642,601
COVARRUBIAS,639,553
MORAN,639,629
ALCANTARA,637,632
MEDRANO,628,715
RICO,628,665
UC,627,566
COTA,626,658
GAMEZ,624,636
ROBLEDO,620,511
ANAYA,616,634
ARREOLA,614,584
BARRIENTOS,610,526
CARRERA,609,587
CEBALLOS,609,579
GAMBOA,609,593
DE JESUS,608,572
JARAMILLO,604,618
PORTILLO,603,568
GUADARRAMA,598,506
ARANDA,596,590
APARICIO,593,585
DE,585,644
OLGUIN,585,630
CERON,581,546
MARTIN,580,612
RENTERIA,580,592
ROQUE,580,543
ARAGON,579,602
MONDRAGON,579,703
SAAVEDRA,574,485
VELEZ,574,554
BAHENA,573,608
CASTANEDA,573,574
ALEMAN,572,557
DE LA,572,465
HURTADO,572,530
PENA,572,477
CORDERO,571,572
VERGARA,570,560
FONSECA,568,568
BECERRIL,567,527
NUNEZ,565,532
LIRA,560,538
BUSTOS,557,606
MENA,555,544
ZAMUDIO,555,582
ARCOS,554,469
CANUL,554,611
SERNA,547,535
OSUNA,546,586
CORREA,543,572
VALADEZ,540,537
BALTAZAR,538,513
QUINTANA,538,536
SANTILLAN,535,509
RINCON,533,525
LUIS,532,555
CARREON,528,466
BADILLO,525,513
CAZARES,523,490
ADAME,521,568
JASSO,520,447
MILLAN,518,541
URBINA,517,505
DE LOS SANTOS,513,548
CHACON,511,509
HEREDIA,511,445
BUSTAMANTE,508,522
COLIN,508,513
PAZ,506,545
CASILLAS,505,431
MADRIGAL,505,441
ALCOCER,504,496
PEDRAZA,503,478
ZARAGOZA,497,491
VITE,494,482
MERINO,493,516
ROSADO,493,461
CUELLAR,492,473
PIÑA,491,453
TERAN,491,472
ALCARAZ,489,491
SALDAÑA,489,489
VENEGAS,487,488
ABARCA,486,510
SALVADOR,485,481
LAZARO,482,443
ORDAZ,481,441
DELGADILLO,480,508
ONTIVEROS,480,483
VICENTE,477,488
CHAVARRIA,476,503
MONTALVO,475,517
RUEDA,475,396
GORDILLO,474,433
LIMA,474,429
NORIEGA,474,414
CASAS,473,467
ROLDAN,472,414
CEDILLO,471,601
RAMON,471,407
BRITO,470,539
CARDONA,470,415
DORANTES,469,409
SAENZ,469,480
ANGULO,467,546
BRIONES,467,483
PUENTE,466,471
HINOJOSA,464,403
DE LA TORRE,463,478
YAÑEZ,462,486
MATUS,461,404
MOTA,461,447
FRANCISCO,457,393
TEJEDA,457,442
GARRIDO,456,466
PERALES,455,344
REYNOSO,455,465
GALEANA,454,457
MIGUEL,454,465
PULIDO,450,470
ALCALA,447,372
LIMON,445,456
NERI,445,438
NOLASCO,445,506
TREVIÑO,445,417
CADENA,440,440
MANZANO,434,371
PRADO,433,485
GONGORA,432,431
AVENDAÑO,428,376
VALLEJO,428,461
ALMANZA,426,375
ARGUELLES,423,377
BASILIO,423,296
LINARES,422,425
SARMIENTO,422,418
ALANIS,420,377
BETANCOURT,420,462
TRINIDAD,420,466
DAMIAN,419,367
MIRELES,419,442
FRIAS,418,471
JAIME,418,422
ANGEL,417,372
ARAUJO,417,409
MONTAÑO,417,374
PAEZ,416,371
VELASQUEZ,411,407
NEGRETE,410,409
CASTREJON,409,394
DZUL,409,416
PRIETO,409,376
RIVERO,406,387
MUNGUIA,404,342
MANCILLA,403,381
VELA,403,353
ANGUIANO,402,440
CAMARILLO,402,387
VIVEROS,402,476
VERDUGO,401,347
AMARO,398,378
MAYA,398,424
NARVAEZ,397,364
BERMUDEZ,395,389
CAMARGO,395,385
NICOLAS,395,404
SOLORZANO,395,395
CORRAL,393,474
MAGAÑA,393,423
TENORIO,393,390
ESPINO,392,407
JACOBO,390,450
SALDIVAR,390,427
OLMOS,389,360
CANCHE,388,410
AMAYA,387,421
MOCTEZUMA,385,441
OLIVA,385,338
POOT,385,356
BURGOS,384,436
BARBOSA,381,352
RUVALCABA,381,393
SEGOVIA,379,359
MELO,378,401
OROPEZA,378,400
LIZARRAGA,377,392
LARIOS,375,342
GASTELUM,374,370
LUCERO,374,365
ROBLERO,374,411
SALMERON,373,340
BANDA,371,342
ORNELAS,369,388
BARCENAS,368,392
SANTAMARIA,368,326
AREVALO,367,330
OVANDO,366,361
LORENZO,365,403
MARES,364,365
ALEJANDRO,361,353
CERDA,360,390
FIERRO,360,386
ALMAZAN,358,341
CATALAN,357,345
KU,357,361
MU!OZ,357,388
LANDA,354,383
VALDIVIA,352,347
GASPAR,350,350
GIRON,348,298
LOZADA,348,263
SANTOYO,347,307
NOVELO,346,313
CORONEL,345,288
LEDESMA,345,379
LOERA,344,352
PARTIDA,343,352
SORIA,343,353
ZUNIGA,343,373
BALAM,342,346
ALBARRAN,341,342
TELLO,341,363
AGUAYO,339,298
OLIVAS,339,346
MUÑIZ,335,360
ACEVES,334,273
RUELAS,332,348
ALMARAZ,331,287
PATIÑO,331,331
CAAMAL,328,369
ESTRELLA,328,320
CLEMENTE,327,337
CORNEJO,327,329
ZAMBRANO,327,331
CEPEDA,326,292
MELCHOR,326,311
SIFUENTES,323,322
LUCAS,322,320
BARRAZA,320,346
CASTILLEJOS,320,333
MARROQUIN,319,392
BOJORQUEZ,317,315
LLAMAS,316,285
LUCIO,316,314
ALDANA,315,297
PEDROZA,315,343
ALCANTAR,314,349
MONTEJO,314,324
HIGUERA,313,323
TOLENTINO,312,309
MEDELLIN,310,238
TAMAYO,310,323
LAGUNAS,309,305
PLATA,309,275
QUEVEDO,309,251
TIRADO,309,305
CHABLE,307,329
GARDUÑO,307,287
LEDEZMA,306,358
OLIVERA,306,278
MENDIETA,304,275
LEMUS,303,288
PIMENTEL,303,334
BENAVIDES,302,283
ARMENDARIZ,301,274
ORDOÑEZ,301,259
PUGA,301,279
CALVO,300,309
GAONA,299,305
BUENO,298,347
CENTENO,298,260
NARANJO,298,298
PORRAS,298,277
CANALES,297,291
PEREA,297,332
RAZO,297,257
REGALADO,297,301
MADRID,295,327
MANRIQUEZ,295,305
MOJICA,295,268
TUN,295,331
ALBA,294,300
ESCUDERO,294,283
SARABIA,294,312
ASTUDILLO,293,246
PANTOJA,293,350
ULLOA,293,248
CANTO,292,274
CAUICH,292,347
BALLESTEROS,290,266
LOYA,289,291
OLMEDO,289,257
CALIXTO,288,228
GARAY,288,252
OLEA,288,270
PRECIADO,288,313
NIEVES,287,291
ROJO,287,340
ZAVALETA,287,304
COLLI,286,244
CURIEL,286,329
LERMA,286,271
LUEVANO,284,220
PLASCENCIA,283,269
VILCHIS,283,357
CONDE,282,260
EUAN,282,245
CANCINO,280,253
DE LA FUENTE,280,300
SERVIN,280,256
DZIB,279,278
OVIEDO,279,283
CRESPO,278,258
FAJARDO,277,227
JAUREGUI,277,257
LANDEROS,277,307
BLAS,275,278
ELIAS,275,282
MARCIAL,274,247
CASTELAN,273,295
BAEZA,272,288
ELIZALDE,272,315
MERAZ,272,315
TINOCO,272,257
DE SANTIAGO,271,241
PINTO,271,270
BERNABE,270,298
ELIZONDO,269,255
AHUMADA,267,258
JURADO,267,259
MOYA,266,210
CARVAJAL,265,267
DIEGO,265,287
ARGUELLO,264,267
BOLAÑOS,263,252
POLANCO,263,254
JACINTO,262,279
LOMELI,261,285
CALVILLO,260,222
GODOY,260,264
TERRAZAS,260,242
ANTUNEZ,259,219
AZUARA,259,254
ECHEVERRIA,259,247
MAYORGA,259,263
DE LA O,258,289
HARO,257,279
PELAEZ,256,218
ARIZMENDI,255,226
CARBALLO,255,283
JERONIMO,255,196
BOCANEGRA,254,255
VICTORIA,254,242
ZACARIAS,254,233
GALAVIZ,253,252
QUIJANO,252,236
PERAZA,251,254
MACEDO,250,200
ARCINIEGA,249,237
CELIS,249,246
GASCA,249,228
MOSQUEDA,249,301
ZAZUETA,249,275
MANUEL,248,234
MENDIOLA,248,240
OVALLE,248,222
SEPULVEDA,248,221
GARDUNO,247,258
ZURITA,247,243
CARDOSO,246,288
ARZATE,244,198
FALCON,244,209
ARVIZU,243,211
CAN,243,226
ESPINDOLA,243,180
LAZCANO,243,202
MANRIQUE,243,237
PUC,243,259
MAYO,242,233
VALLES,242,208
MATEOS,241,255
PASTRANA,241,231
ALEJO,240,216
DE LUNA,240,208
LOREDO,240,224
ALEGRIA,239,271
MATIAS,239,347
CALZADA,237,233
CAVAZOS,237,207
EK,237,192
FRAGOSO,237,250
PALOMO,236,244
SALCEDO,236,274
VILLAVICENCIO,236,182
ALAMILLA,235,237
INFANTE,235,248
REZA,235,267
AGUILA,234,185
CORRALES,234,245
PICHARDO,234,277
PABLO,233,244
BAÑUELOS,232,270
BLANCAS,232,228
CAMARENA,232,219
GUAJARDO,231,243
VILLAGOMEZ,231,258
CANSECO,230,195
CASARRUBIAS,230,201
ESTEBAN,230,234
GALAN,230,206
ORTA,230,287
ACUÑA,229,321
COBOS,227,242
JOSE,227,322
MANDUJANO,227,208
GARIBAY,226,204
BOBADILLA,225,177
FRAUSTO,224,201
MARCOS,224,199
MOO,224,269
ZENTENO,224,218
CABELLO,223,221
MIJANGOS,223,204
PARDO,223,229
SALCIDO,223,147
LICONA,222,231
PALAFOX,222,291
VALERIO,222,258
MANJARREZ,221,257
BASURTO,220,186
IZQUIERDO,220,207
LAGUNA,220,242
PANIAGUA,220,236
ROA,220,189
CID,219,215
AKE,218,204
CAMARA,218,200
CHAPARRO,218,231
HOLGUIN,218,227
JAVIER,218,209
JULIAN,218,170
LUJAN,218,203
PALOMINO,218,205
QUIÑONES,218,263
ARAIZA,217,269
CALVA,217,195
SIMON,217,217
ZAMARRIPA,216,198
PALOMARES,215,222
CONSTANTINO,214,217
FELIPE,214,220
CALLEJAS,213,245
CAMPUZANO,213,175
ISIDRO,213,193
LEZAMA,213,227
ALAVEZ,212,153
LAGUNES,212,204
ARANA,211,209
MARISCAL,210,256
PASCUAL,210,220
MIRAMONTES,209,182
NU!EZ,209,229
PADRON,209,230
VILLALBA,209,169
CEJA,208,253
POZOS,208,204
ARRIETA,207,167
CORDOBA,207,214
SANTACRUZ,207,198
BUSTILLOS,206,176
CASANOVA,206,252
CRISTOBAL,206,188
FABIAN,206,198
JARA,206,175
MAR,206,205
SEVILLA,206,225
GAMA,205,181
POOL,204,192
ZAMORANO,204,220
LECHUGA,203,191
VELARDE,203,200
BALBUENA,202,196
FARIAS,202,244
VIRGEN,202,227
BARRETO,201,235
HIPOLITO,201,209
CARLOS,200,240
IBAÑEZ,200,221
RADILLA,200,220
URIAS,200,168
ASCENCIO,199,224
GARCES,199,193
ALMEIDA,198,205
BARRANCO,198,178
DEL VALLE,198,243
USCANGA,198,197
PAT,196,203
CASTA!EDA,195,178
GRIMALDO,195,208
MACIEL,195,213
VILLEDA,195,164
MU%OZ,194,226
HUCHIN,193,168
MATEO,193,152
NIÑO,193,189
BARBA,192,205
MAGANA,192,204
REBOLLEDO,192,199
DIMAS,191,173
LOBATO,190,165
MEDEL,190,187
ONOFRE,190,196
VELAZCO,190,234
YANEZ,190,228
ALONZO,188,253
GRAJALES,188,208
IZAGUIRRE,188,185
NEVAREZ,188,209
ABURTO,187,213
BAÑOS,187,180
MOGUEL,187,186
VIZCARRA,187,199
CHAVIRA,186,187
VENCES,186,135
CASTAÑON,185,171
DAVALOS,185,203
RODARTE,185,152
BAZAN,184,189
BUENDIA,184,185
MARMOLEJO,184,197
OZUNA,184,182
RASCON,184,179
AMBROSIO,183,176
JARQUIN,183,186
MAGALLANES,183,191
SEGUNDO,183,178
UGALDE,183,248
DEL RIO,182,156
MAGDALENO,182,192
MANZO,182,185
ZALDIVAR,182,154
BAILON,181,180
VALVERDE,181,153
BALLINAS,180,181
CARRIZALES,180,194
BACA,179,148
JUAN,179,278
LOEZA,179,210
MONREAL,179,188
GATICA,178,213
LOZA,178,189
OTERO,178,188
CARRO,177,171
GRACIA,177,215
OBREGON,177,213
PELAYO,177,205
POSADAS,177,143
MONTELONGO,176,194
PLIEGO,176,189
TOSCANO,176,153
VALLADARES,176,185
YAM,176,151
ALCAZAR,175,159
ESPIRITU,175,118
MENDIVIL,175,198
VILLASEÑOR,175,160
GALARZA,174,181
NU%EZ,174,181
SALDANA,174,193
ZEMPOALTECA,174,145
BARROSO,173,163
CARO,173,199
DE LA GARZA,173,176
GAXIOLA,172,148
MOROYOQUI,172,229
VILLALPANDO,172,167
FERIA,171,103
GURROLA,171,145
PARADA,171,146
GERONIMO,170,161
QUINTAL,170,135
SOLORIO,170,168
AGUSTIN,169,184
GARNICA,169,190
SAMANO,169,168
SAUCEDA,169,159
BARTOLO,168,135
BETANZOS,168,140
FAVELA,168,139
ANDRES,167,213
PINA,167,219
VILLAFUERTE,167,181
ALVA,166,163
MONCADA,166,188
SOBERANIS,166,158
DE LA PAZ,165,177
MERIDA,165,149
BOTELLO,164,171
FERRER,164,144
IGLESIAS,164,168
MORELOS,164,161
UICAB,164,163
VICENCIO,164,143
BALCAZAR,163,175
MONTESINOS,163,143
ENCISO,162,161
PORTILLA,162,125
CERVERA,161,143
DURON,161,151
BARRADAS,160,159
CHAPA,160,148
FARFAN,160,143
MAZA,160,158
PEREYRA,160,139
ARIZA,159,123
BRUNO,159,101
LANDERO,159,174
LEIJA,159,137
PE%A,159,143
BENITO,158,138
BUENROSTRO,158,145
CARPIO,158,156
CASTA%EDA,158,135
CUENCA,158,149
CETINA,157,160
COLORADO,157,171
CORZO,157,129
HILARIO,157,167
TINAJERO,157,134
ALBORES,156,150
KANTUN,156,166
OLAN,156,122
RODAS,156,173
ROMANO,156,187
VERDUZCO,156,170
MICHEL,155,151
AMBRIZ,154,142
DIRCIO,154,148
MAYORAL,154,169
ANZURES,153,121
BRISEÑO,153,178
GUARDADO,153,178
MENCHACA,153,140
MURO,153,165
ORDONEZ,153,161
PINZON,153,183
SEBASTIAN,153,156
AVILEZ,152,168
CALLEJA,152,158
VILLAR,152,155
WONG,152,132
DE DIOS,151,157
VIVAS,151,152
MAURICIO,150,158
MONSIVAIS,150,135
BALDERRAMA,149,149
ENCARNACION,149,178
PAYAN,149,199
VIDALES,149,121
ZU%IGA,149,123
ALATORRE,148,161
BALAN,148,113
CUETO,148,143
DUEÑAS,148,152
ESCALONA,148,164
ESTUDILLO,148,148
MANCERA,148,131
PAVON,148,137
TUZ,148,156
URIOSTEGUI,148,178
ARJONA,147,112
RAYA,147,135
SAMANIEGO,147,159
YEPEZ,147,123
CABRAL,146,84
MONTANO,146,160
MURGUIA,146,114
VALERA,146,139
VILLATORO,146,155
HUITRON,145,138
MINOR,145,94
MONTES DE OCA,145,125
REAL,145,134
REBOLLAR,145,136
SAN,145,134
SERRATO,145,126
ARCEO,144,106
GRANDE,144,142
MURRIETA,143,149
CAYETANO,142,157
COUOH,142,142
CUERVO,142,112
FIERROS,142,160
OCAÑA,142,144
QUINTANAR,142,127
QUINTANILLA,142,184
ALDAMA,141,108
LUCIANO,141,111
TADEO,141,113
TORAL,141,128
VALDOVINOS,141,125
CAB,140,100
CARREÑO,140,141
IGNACIO,140,124
PERERA,140,141
PRIEGO,140,121
TALAVERA,140,101
TERRONES,140,111
ADAN,139,154
ARREGUIN,139,116
ENCINAS,139,124
GARZON,139,128
MELGAREJO,139,97
PINO,139,121
ABAD,138,110
ABREGO,138,148
AGUERO,138,148
CERINO,138,149
JACOME,138,127
NOYOLA,138,134
PASTOR,138,119
VALENTIN,138,169
AMEZCUA,137,174
BASTIDA,137,121
CHARLES,137,170
CHUC,137,194
CORPUS,137,101
RONQUILLO,137,115
ALFONSO,136,139
BEJARANO,136,123
SUASTEGUI,136,132
CHIMAL,135,89
NOH,135,175
NUCAMENDI,135,175
ALMAGUER,134,149
BORJA,134,169
CAMPA,134,120
CANDIA,134,120
DIAZ DE LEON,134,94
HOYOS,134,63
REA,134,145
VACA,134,116
JUSTO,133,128
VIERA,133,114
GREGORIO,132,119
INZUNZA,132,110
VILLAGRAN,132,100
COLUNGA,131,140
JAQUEZ,131,107
ZETINA,131,158
CASTORENA,130,146
CERECEDO,130,132
PATRICIO,130,179
QUIÑONEZ,130,171
RIZO,130,154
VIEYRA,130,107
ALLENDE,129,102
CEN,129,126
CORIA,129,128
CUAPIO,129,94
GERARDO,129,166
RASGADO,129,133
VARA,129,90
YOCUPICIO,129,154
AGUIAR,128,145
GABRIEL,128,140
LIEVANO,128,141
TIBURCIO,128,107
VALTIERRA,128,126
CELAYA,127,146
FREGOSO,127,130
TALAMANTES,127,163
VALERO,127,142
VERDIN,127,135
VILLELA,127,161
ALVARO,126,127
BUENFIL,126,144
CHE,126,112
LIZAMA,126,143
OCEGUEDA,126,87
SALOMON,126,143
VIGUERAS,126,116
AYON,125,142
BARRERAS,125,148
BORGES,125,98
HUESCA,125,90
MAGA%A,125,106
MARRUFO,125,131
QUIROGA,125,128
CARRETO,124,118
PUENTES,124,145
ARMAS,123,136
CONCHA,123,88
MERA,123,87
VIVAR,123,121
GRIJALVA,122,131
HERMOSILLO,122,118
MUNIZ,122,139
ZU!IGA,122,100
ARZOLA,121,142
CAUDILLO,121,107
COUTIÏ¿½O,121,126
MACHADO,121,134
MANZANARES,121,120
OLIVO,121,157
RAFAEL,121,109
ASTORGA,120,155
PINEDO,120,100
RICARDEZ,120,142
SAINZ,120,97
VITAL,120,117
BIBIANO,119,106
MACHUCA,119,164
MANZANAREZ,119,103
MORGADO,119,137
OSORNIO,119,117
PICAZO,119,117
TAMEZ,119,132
ESPADAS,118,103
NAAL,118,116
SAN JUAN,118,104
SANABRIA,118,114
TOBON,118,98
COELLO,117,132
DANIEL,117,106
ESCALERA,117,87
ESPEJEL,117,134
MUNDO,117,88
SILVESTRE,117,131
TREVINO,117,117
ARAMBULA,116,94
BORREGO,116,95
ARELLANES,115,117
BORBON,115,111
CERQUEDA,115,49
MUÏ¿½OZ,115,132
PATRON,115,103
SOLARES,115,111
BARBOZA,114,138
DE LA VEGA,114,85
FARRERA,114,90
GILES,114,110
PIEDRA,114,134
POPOCA,114,104
SABIDO,114,99
AGUILLON,113,102
LARRAGA,113,89
LOAEZA,113,117
LORA,113,99
MALPICA,113,85
SOBERANES,113,109
BANUELOS,112,96
BAZALDUA,112,115
BRICENO,112,92
BURCIAGA,112,81
MARIANO,112,99
PIÑON,112,126
TOPETE,112,113
AVELAR,111,114
DE ANDA,111,144
HERVERT,111,86
LLANES,111,107
SEDANO,111,103
TORREBLANCA,111,111
VALDERRAMA,111,115
VALENTE,111,101
APODACA,110,103
BEDOLLA,110,116
CANCHOLA,110,85
ESTEVEZ,110,109
GERMAN,110,85
ROSARIO,110,146
TRISTAN,110,101
URRUTIA,110,121
VILLASANA,110,128
CELESTINO,109,90
CHAIREZ,109,122
MONTENEGRO,109,105
MONTERRUBIO,109,126
MONZON,109,113
URBANO,109,125
ALANIZ,108,119
AZPEITIA,108,63
FELICIANO,108,133
LORIA,108,96
MADERA,108,112
CASTILLA,107,111
CHINO,107,120
COCOM,107,94
COSME,107,115
FABELA,107,122
GANDARA,107,107
MUJICA,107,93
GOVEA,106,116
LONGORIA,106,123
NUÏ¿½EZ,106,87
PERDOMO,106,102
RUANO,106,77
SERRALDE,106,116
TAVERA,106,82
CACERES,105,107
ESQUEDA,105,110
VELOZ,105,91
ALBERTO,104,74
MARBAN,104,126
MONTEMAYOR,104,111
PEREDA,104,92
PEÑALOZA,104,100
TOMAS,104,116
YESCAS,104,107
ABRAJAN,103,120
ARGAEZ,103,80
BUITIMEA,103,126
CADENAS,103,70
DE LA LUZ,103,107
DEL,103,112
DIONICIO,103,117
HUIZAR,103,84
MALAGON,103,105
MELLADO,103,69
NIEBLAS,103,84
OSORNO,103,93
PE!A,103,95
POSADA,103,126
VICTORIANO,103,97
ESLAVA,102,104
EVANGELISTA,102,101
RAYON,102,88
BERNARDINO,101,114
DUQUE,101,76
MELGAR,101,78
NOCHEBUENA,101,110
OREA,101,93
PUEBLA,101,91
UCAN,101,110
ALEJANDRE,100,103
CAZAREZ,100,119
DEL TORO,100,135
DELFIN,100,103
HDEZ,100,127
MOSSO,100,91
PASCACIO,100,70
QUIJADA,100,107
RAYGOZA,100,101
VALDIVIESO,100,145
FLOTA,99,74
LOYOLA,99,118
MUÃ¿OZ,99,93
ZUMAYA,99,100
DE PAZ,98,74
ESQUER,98,146
GRAJEDA,98,116
INTERIAN,98,81
LEY,98,57
MEX,98,76
TEJADA,98,93
BONIFACIO,97,44
CALDERA,97,116
DOLORES,97,141
ORIHUELA,97,100
SIBAJA,97,99
TABOADA,97,87
GARFIAS,96,91
JESUS,96,148
RABAGO,96,106
ROSETE,96,96
TOLEDANO,96,73
VILLALVAZO,96,100
ZAMARRON,96,105
HAU,95,76
LABASTIDA,95,95
SEGOVIANO,95,63
VILLASENOR,95,68
ARANGO,94,87
BRACAMONTES,94,66
CARDOZA,94,87
VIVANCO,94,85
YAH,94,111
ANCONA,93,96
LUMBRERAS,93,67
MORIN,93,114
MUNIVE,93,95
PIOQUINTO,93,60
SANJUAN,93,84
CARCAMO,92,91
CENICEROS,92,131
CORAL,92,113
CORNELIO,92,112
GLORIA,92,119
LLANOS,92,101
OLALDE,92,120
PATINO,92,91
PINTOR,92,72
VENANCIO,92,96
BARON,91,55
ECHAVARRIA,91,70
ZARAZUA,91,83
ALPIZAR,90,74
BORJAS,90,79
CASIANO,90,82
COSIO,90,109
ESPITIA,90,119
GUILLERMO,90,104
URZUA,90,96
ALPUCHE,89,54
