nombre,frec,edad_media
JOSUE,390,36.05
JOSE CARLOS,386,40.06
JUAN GABRIEL,384,38.49
SEBASTIAN,383,44.75
JOSE RAMON,382,42.62
EZEQUIEL,381,44.79
ARTEMIO,377,46.66
LAZARO,376,45.92
CUAUHTEMOC,375,41.37
ROBERTO CARLOS,375,33.28
JOSE JESUS,372,46.15
MARIANO,365,45.53
JORGE ANTONIO,364,41.5
J. JESUS,363,49.25
DIEGO,355,41.83
JOSE MARIA,355,46.1
FERMIN,354,44.82
LUCIO,350,46.27
LEOBARDO,348,44.7
ABELARDO,340,43.32
ELOY,338,43.6
ADALBERTO,334,43.72
NORBERTO,334,45.14
MAURO,333,45.13
DELFINO,331,46.77
MARCELO,331,44.38
JOSE ARTURO,330,43.95
JESUS ALBERTO,329,36.72
PASCUAL,329,45.82
MISAEL,328,38.2
EDMUNDO,326,46.79
JUAN LUIS,326,38.84
EVERARDO,324,42.98
MANUEL JESUS,322,45.37
FLORENCIO,318,47.17
ISAAC,317,40.08
JUAN DE DIOS,316,42.64
CLAUDIO,314,43.96
JOSE MIGUEL,310,38.11
ERICK,307,32.12
SALOMON,305,45.36
FABIAN,304,38.77
CRISTOBAL,303,43.53
JUAN ALBERTO,303,39.72
FLORENTINO,302,46.89
EUSEBIO,301,46.2
JOSE EDUARDO,299,37.78
AMADO,296,46.75
JOSE ALEJANDRO,295,40
ROSENDO,295,47.05
ERIC,294,36.85
JUAN RAMON,290,42.8
URIEL,290,35.55
FELICIANO,289,47.03
FREDY,289,36.78
J GUADALUPE,287,50.99
JORGE ARTURO,287,40.65
EUGENIO,282,47.39
HIPOLITO,282,46.64
TEODORO,279,49.25
CIRILO,278,46.79
GILDARDO,277,44.83
SANTOS,277,46.81
FAUSTO,273,46.47
LUCIANO,273,46.75
JOSE ROBERTO,269,36.9
JUVENTINO,268,46.97
LUIS ANGEL,267,33.52
HOMERO,266,43.67
JOSE ENRIQUE,261,44.3
DAGOBERTO,260,44.08
JOSE ARMANDO,258,43.49
CARLOS ENRIQUE,257,39.63
AARON,256,39.64
CLEMENTE,255,48.31
MAXIMINO,255,47.59
LUIS MIGUEL,254,34.19
JACINTO,253,46.76
DEMETRIO,252,47.49
JORGE ARMANDO,252,36.72
BALTAZAR,251,46.33
SILVESTRE,251,46.5
JERONIMO,250,46.08
OSVALDO,249,38.15
SIMON,248,46.88
CARLOS MANUEL,243,42.6
GABINO,243,44.46
LUIS FELIPE,243,40.6
ARIEL,242,44.38
MATEO,242,45.99
NESTOR,240,41.22
NOEL,237,39.76
CANDIDO,235,45.94
JONATHAN,235,29.11
J. GUADALUPE,233,49.92
BERNARDINO,232,47.19
EMILIANO,232,47.19
APOLINAR,231,47.16
OSWALDO,230,36.15
ALONSO,229,42.05
JOSE FERNANDO,223,43.32
ERASMO,221,45.25
LUIS CARLOS,220,41.37
PAULINO,220,46.31
JUSTINO,219,46.41
JOSE CRUZ,218,45.88
JUAN MARTIN,217,44.72
LUIS ARMANDO,216,39.53
RUFINO,212,46.88
ANASTACIO,210,48.39
ERIK,209,32.62
CONSTANTINO,207,48.1
JUAN JESUS,205,40.13
LUIS GERARDO,204,38.6
UBALDO,204,45.46
BERNABE,203,44.64
EDILBERTO,203,42.71
MANUEL ALEJANDRO,203,30.27
CELSO,202,46.94
GAUDENCIO,202,46.14
LUIS ALFONSO,201,42.8
ANSELMO,200,47.02
REYES,199,46.42
CECILIO,198,46.18
JORGE ALEJANDRO,196,37.24
JOSE DEL CARMEN,195,44.94
DARIO,193,46.28
ROSALIO,192,47.53
SERVANDO,191,45.76
JOSE JAVIER,190,43.56
JUAN MIGUEL,190,39
CELESTINO,189,44.88
SILVERIO,189,46.34
ELEUTERIO,186,48.32
JOSE RICARDO,186,40.53
EVARISTO,185,47.89
CIRO,183,48.26
ROMEO,183,44.1
SABINO,182,47.53
FIDENCIO,180,46.54
GASPAR,179,45.59
CANDELARIO,178,47.03
CARLOS ANTONIO,175,39.23
EDGARDO,175,38.58
HERNAN,174,42.44
JOSE TRINIDAD,174,45.93
VLADIMIR,174,34.64
CESAR AUGUSTO,172,36.94
JOSE RAFAEL,172,43.73
BONIFACIO,170,47.02
LUIS EDUARDO,170,37.15
BRAULIO,169,43.81
ALDO,168,33.64
JORGE ENRIQUE,168,41.64
JOSE RAUL,168,43.95
PATRICIO,168,46.36
EPIFANIO,166,47.6
JOSE IGNACIO,164,44.17
BENIGNO,163,46.92
JUAN GERARDO,163,42.27
MANUEL ANTONIO,163,42.75
CORNELIO,162,44.29
FLAVIO,162,46.01
JOSE DANIEL,162,38.7
MODESTO,161,47.92
JOSE DAVID,160,39.1
JOSE GABRIEL,160,43.06
CARLOS EDUARDO,159,35.66
JACOBO,159,44.14
JOSE HUMBERTO,159,44.35
LUIS ARTURO,159,39.8
CRESCENCIO,158,48.86
FORTINO,158,46.82
MARCIAL,158,46.92
VIRGILIO,158,46.38
BULMARO,156,45.54
JOSE GERARDO,156,45.97
NARCISO,155,46.9
SERAFIN,155,47.29
WILFRIDO,154,43.63
HERMENEGILDO,152,47.59
HERMINIO,152,47.57
JESUS ENRIQUE,152,41.34
CHRISTIAN,150,29.21
HERMILO,150,45.76
DAMIAN,149,43.45
JUAN ENRIQUE,149,41.99
MACARIO,149,45.98
MAGDALENO,149,48.66
LENIN,148,35.83
LINO,145,45.56
ARNOLDO,144,45.83
JUVENAL,143,46.1
GAMALIEL,142,37.42
HECTOR JAVIER,141,42.71
ILDEFONSO,141,48.07
HONORIO,140,46.35
HUGO ALBERTO,140,35.96
JESUS ALEJANDRO,140,34.65
NELSON,139,36.12
HECTOR HUGO,138,36.71
ISIDORO,137,46.79
LAURO,137,45.93
LUIS JAVIER,136,39.85
MAXIMO,136,47.46
NEFTALI,136,38.45
JOSE ALFONSO,135,45.53
LUIS HUMBERTO,135,41.3
TEOFILO,135,46.52
BARTOLO,134,47.64
FILEMON,134,48.33
AURELIANO,133,47.85
TRINIDAD,133,47.11
VIDAL,133,44.98
CIPRIANO,132,47.8
CRUZ,132,46.68
JOSE ISABEL,132,46.31
ELIGIO,130,47.08
ZEFERINO,130,47.5
AMADOR,128,47.52
ARISTEO,128,47.95
EMIGDIO,126,46.91
JORGE EDUARDO,126,37.24
JOSE SALVADOR,126,44.35
GERONIMO,125,46.34
SATURNINO,125,48.13
CAMILO,124,45.06
JOSE JAIME,124,44.82
LUCAS,124,46.5
LUIS FRANCISCO,124,39.68
VENANCIO,124,46.79
VICTORINO,123,45.5
ANIBAL,122,40.42
CARLOS ARTURO,122,40.33
JORGE HUMBERTO,122,43.33
JOSE MARIO,122,46.98
JUAN DIEGO,122,39.06
CARLOS JAVIER,121,41.51
EULALIO,121,47.26
DIONICIO,120,45.58
EDWIN,120,31.42
JESUS ARMANDO,120,41.37
JUAN FERNANDO,120,40.23
JESUS EDUARDO,119,36.25
PRIMITIVO,119,48.76
ROQUE,119,45.25
TIMOTEO,118,45.89
VICTORIANO,118,49.12
FROYLAN,117,42.64
JOSE SANTOS,117,47.13
CARMELO,116,43.73
JOSE ANDRES,116,42.85
MELITON,116,48.54
ODILON,116,47.89
PEDRO PABLO,116,43.53
REFUGIO,116,48.06
URBANO,116,49.17
CRISPIN,115,47.13
INOCENCIO,115,48.25
JOSE GUILLERMO,115,44.59
OBED,115,36.79
ELADIO,114,47.3
FREDDY,113,37.19
LUIS ALFREDO,113,37.52
RUBEN DARIO,113,42.45
VALENTE,113,45.24
CONRADO,112,48.35
CRISTIAN,112,30.65
OSCAR MANUEL,112,40.92
RANULFO,112,46.41
JOSE REFUGIO,111,45.85
PEDRO ANTONIO,111,41.01
JOSE DOMINGO,110,39.32
LUIS ALEJANDRO,110,34.79
MAURILIO,110,46.91
ALBINO,109,47.13
SERGIO ANTONIO,109,40.87
JORGE IVAN,108,33.57
JORGE MANUEL,108,44
ROSALINO,108,45.72
BALDEMAR,107,44.51
ROSARIO,107,42.56
BLAS,106,47.06
FRANCISCO ANTONIO,106,40.04
IRVING,106,31.19
MIGUEL ANTONIO,106,42.05
SERGIO ARTURO,106,39.18
SIXTO,106,47.19
CARLOS HUMBERTO,105,43.36
LEONCIO,105,47.22
MARIO ANTONIO,105,42.31
JESUS SALVADOR,104,41.97
RENATO,104,43.02
JOSE PEDRO,103,45.31
MELCHOR,103,47.5
ALAN,102,31.84
CARLOS MARIO,102,41.28
ALEJO,101,47.68
APOLONIO,101,48.04
JAIRO,101,35.18
JUAN IGNACIO,101,42.32
MATIAS,101,48.22
CARLOS FRANCISCO,100,39.91
EMANUEL,100,31.99
JOSE ALONSO,100,37.97
JOSE RUBEN,100,45.84
LIBRADO,100,46.05
LUIS DANIEL,100,34.22
RUPERTO,100,47.38
WENCESLAO,100,45.6
AMANDO,99,47.87
ANTONIO DE JESUS,99,31.28
BRUNO,99,44.66
CUTBERTO,99,47.86
LUIS ALONSO,99,39.75
NAHUM,99,40.3
SILVINO,99,47.82
DONACIANO,98,47.47
EDER,98,30.11
ESAU,98,37.66
JUAN ANGEL,98,41.69
JUAN PEDRO,98,40.93
MAXIMILIANO,98,47.61
ARCADIO,97,47.38
EDGAR IVAN,97,30.26
GUSTAVO ADOLFO,97,40.35
JOSE FELIX,97,42.53
MELQUIADES,97,48.57
ROGER,97,42.4
CARLOS ALEJANDRO,96,35.94
JOSE GILBERTO,96,42.54
ZENON,96,47.77
JOSE ERNESTO,95,42.38
JOSE RODOLFO,95,45.53
LEANDRO,95,45.23
OMAR ALEJANDRO,95,31.41
FORTUNATO,94,46.34
HUGO ENRIQUE,94,32.59
JOSE FELIPE,94,46.4
JOSE JORGE,94,46.6
NAZARIO,94,45.35
ERASTO,93,48.1
JOSE ADRIAN,93,40.38
JOSE DOLORES,93,50.23
LUIS ROBERTO,93,39.29
OLEGARIO,93,46.99
SERGIO ALBERTO,93,37.73
ELFEGO,92,47.55
HIGINIO,92,46.79
J REFUGIO,92,47.45
SILVANO,92,46.37
BALDOMERO,91,46.15
JOSE IVAN,91,31.53
PLACIDO,91,47.09
DONATO,90,48.83
ELPIDIO,90,49.22
EULOGIO,90,47.21
JOSE ABEL,90,44.5
MARCO AURELIO,90,41.08
SOTERO,90,47.34
WILBERT,90,40.99
INOCENTE,89,47.85
AUGUSTO,88,42.76
CARLOS IVAN,88,30.66
JESUS JOSE,88,45.66
FACUNDO,87,47.34
OSCAR JAVIER,87,40.33
OTILIO,87,48.25
ANTELMO,86,47.38
JOSE CARMEN,86,50
MARCOS ANTONIO,86,42.37
DANTE,85,39.67
DIONISIO,85,49
FLORIBERTO,85,45.14
JOSE VICTOR,85,44.85
MIGUEL ANGE,85,44.29
ROMUALDO,85,47.35
TELESFORO,85,48.52
ASUNCION,84,44.01
ISAI,84,33.78
JUAN ARTURO,84,41.2
JUAN EDUARDO,84,37.88
LUIS RAUL,84,40.94
CESAR ALEJANDRO,83,34.3
JESUS RAMON,83,42.42
COSME,82,47.43
CRISOFORO,82,46.38
DAVID ALEJANDRO,82,32.3
JESUS ARTURO,82,40.16
JESUS FRANCISCO,82,41.98
JESUS GERARDO,82,42.41
JESUS JAVIER,82,39.05
JOSE ISRAEL,82,36.28
MARCIANO,82,48.63
SEVERO,82,48.11
HECTOR MIGUEL,81,32.94
JUSTO,81,48.65
OLIVER,81,33.67
CATARINO,80,48.44
LUIS MARTIN,80,42.81
TITO,80,47.54
CONCEPCION,79,46.12
PAUL,79,33.52
GIOVANNI,78,31
JOSE AGUSTIN,78,43.95
PEDRO ALBERTO,78,37.94
CARLOS ARMANDO,77,38.52
LUIS ERNESTO,77,38.23
MARIO ENRIQUE,77,42.08
REY DAVID,77,39.92
DANIEL ALBERTO,76,28.89
HIRAM,76,39.81
LEODEGARIO,76,44.99
TEODULO,76,48.45
AMADEO,75,43.64
ELIUD,75,39.48
FRANCISCO JAV,75,46.53
JUAN DANIEL,75,37.6
LAMBERTO,75,48.4
ABUNDIO,74,47.69
ALEXANDER,74,33.69
DIEGO ARMANDO,74,27.22
JOSE ELIAS,74,41.91
JOSE OMAR,74,37.38
JUAN JAVIER,74,45.61
LEON,74,47.87
ROMULO,74,48.26
SERGIO ALEJANDRO,74,35.08
SEVERIANO,74,46.84
AZAEL,73,37.59
FRANCISCO JOSE,73,44.84
HELADIO,73,45.41
JESUS ALFREDO,73,39.23
OTONIEL,73,40.19
SABAS,73,48.19
CESAR OCTAVIO,72,37.78
ELMER,72,38.76
GALDINO,72,46.37
GIL,72,48.03
JOSE INES,72,47.82
JUAN ROBERTO,72,43.57
MARTINIANO,72,49.33
NABOR,72,46.38
OSCAR EDUARDO,72,35.26
FRANCISCO MANUEL,71,41.06
JOSE REYES,71,45.31
JUVENCIO,71,46.51
OCTAVIANO,71,47.01
EDGAR EDUARDO,70,31.59
HERMELINDO,70,47.09
JORGE ALFREDO,70,38.84
JORGE CARLOS,70,41.67
JOSE ABRAHAM,70,40.33
JOSE CONCEPCION,70,49.44
JULIO ALBERTO,70,37.31
LUIS REY,70,43.11
MARINO,70,46.1
OLIVERIO,70,44.87
ONESIMO,70,45.74
OSCAR ALEJANDRO,70,35.33
VICTOR ALFONSO,70,29.8
ADELAIDO,69,48.51
BASILIO,69,46.07
CARLOS CESAR,69,40.91
LUIS JOSE,69,41.58
MARCO TULIO,69,39.2
PONCIANO,69,48.77
PRISCILIANO,69,48.75
SERGIO ENRIQUE,69,40.8
WILBER,69,35.99
ADELFO,68,44.75
ANTONINO,68,45.82
BERTIN,68,45.88
CASIMIRO,68,47.72
CESAREO,68,49.04
FRANCISCO J,68,46.93
ISABEL,68,43.94
JOSE OCTAVIO,68,42.6
LIBORIO,68,49.76
TIBURCIO,68,48.62
CALIXTO,67,48.34
EMETERIO,67,46.07
HUGO CESAR,67,36.29
IRINEO,67,46.85
JACOB,67,38.61
CAYETANO,66,48.09
ELIEZER,66,41.24
ERNESTO ALONSO,66,39.42
ISAURO,66,44.86
J ISABEL,66,50.83
JAIR,66,32.06
JAVIER ALEJANDRO,66,33.38
JESUS FERNANDO,66,37.18
JOSE ESTEBAN,66,46.38
PERFECTO,66,49.47
WILLIAM,66,34.95
CARLOS RAFAEL,65,39.46
EDGAR ALEJANDRO,65,33.43
EDGAR OMAR,65,32.83
GELACIO,65,41.35
JESUS MARTIN,65,43.69
JESUS MIGUEL,65,36.66
MARCO ANTONI,65,45.72
OSCAR DANIEL,65,33.49
AMBROSIO,64,50.14
AMILCAR,64,41.58
AUSENCIO,64,46.48
BLADIMIR,64,35.68
CARLOS ROBERTO,64,37.95
ELI,64,40.45
JESUS GUADALUPE,64,36.88
JESUS ROBERTO,64,39.81
JUAN BAUTISTA,64,46.17
MANUEL ALBERTO,64,39.27
FULGENCIO,63,50.46
JESUS ALFONSO,63,39.68
JESUS IVAN,63,30.43
JOSE OSCAR,63,43.97
JUAN ANDRES,63,39.83
MARIO HUMBERTO,63,43.77
MARTIN ANTONIO,63,44.52
NATALIO,63,44.13
OSIEL,63,38.28
ALEXIS,62,33.11
CARLOS DANIEL,62,35.48
CARMEN,62,45.56
CESAR IVAN,62,29.82
GUMARO,62,46.03
JUAN ALEJANDRO,62,37.45
MANUEL ENRIQUE,62,40.56
MANUEL SALVADOR,62,43.89
SERGIO ARMANDO,62,39.82
BRIGIDO,61,46.87
FRANCISCO ALBERTO,61,42.77
FREDI,61,44.1
IVAN DE JESUS,61,29.18
JESUS DANIEL,61,34.49
JOSE EFRAIN,61,43.67
JOSE RODRIGO,61,38.61
LEONIDES,61,46.18
LUIS GUILLERMO,61,38.82
LUIS RICARDO,61,37.4
ATANACIO,60,49.12
AVELINO,60,48.38
CATALINO,60,44.82
CELERINO,60,45.07
CESAR ANTONIO,60,36.65
FRANCISCO ALEJANDRO,60,38.8
J CARMEN,60,48.95
J FELIX,60,49.97
JESUS HUMBERTO,60,39.3
JOSE JULIAN,60,38.27
JOSE VICENTE,60,44.6
JUAN RICARDO,60,40
MIGUEL ALEJANDRO,60,34.53
PANFILO,60,46.95
REMIGIO,60,48.57
REY,60,42.95
ALEJANDRINO,59,46.68
ANTOLIN,59,46.14
CARLOS MARTIN,59,40.12
ESTANISLAO,59,47.63
GASTON,59,44.44
HELIODORO,59,49.17
JORGE ERNESTO,59,41.14
SILVIANO,59,45.12
ABIMAEL,58,35.4
ANICETO,58,48.05
CRISTINO,58,49.72
FRANCO,58,44.86
JESUS ANGEL,58,41.92
JOSE HUGO,58,43.26
LUIS RAMON,58,39.45
RUTILIO,58,44.88
DAMASO,57,46.23
FELIPE JESUS,57,44.74
LUIS ADRIAN,57,34.33
LUIS DAVID,57,36.39
SAID,57,34.49
TORIBIO,57,47.81
WALTER,57,41.04
CAMERINO,56,47.26
CARLOS ADRIAN,56,34.84
DANIEL ALEJANDRO,56,29.32
DARINEL,56,42.53
DOROTEO,56,46.64
FRANCISCO JAVI,56,47
FRANCISCO JAVIE,56,45.62
JESUS DAVID,56,37.88
JONATAN,56,31.71
JORGE FRANCISCO,56,39.46
JOSE EMILIO,56,45.95
JOSE PABLO,56,43.25
LADISLAO,56,48.8
LUIS IGNACIO,56,44.51
MILTON,56,34.73
OSBALDO,56,40.89
SERGIO IVAN,56,30.27
TIRSO,56,47.41
VICTOR ANTONIO,56,39.77
ZACARIAS,56,48.56
AQUILINO,55,43.8
CARLOS ALFONSO,55,40.27
CARLOS FERNANDO,55,37.09
EVODIO,55,43.91
J. REFUGIO,55,49.87
JAIME ALBERTO,55,39.35
JEREMIAS,55,39.89
JESUS ERNESTO,55,38.56
OSCAR ALBERTO,55,35.85
PABLO CESAR,55,35.85
PASTOR,55,48.61
REGINO,55,46.29
RUBICEL,55,40.61
CARLOS ERNESTO,54,35.72
ELVIS,54,39.05
FRANCISCO JA,54,46.48
HECTOR DANIEL,54,36.41
LUIS GABRIEL,54,38.8
MARIO ALEJANDRO,54,38.15
MARIO ARTURO,54,42.07
CARLOS ANDRES,53,33.34
CARLOS MIGUEL,53,40.45
CESAR ALBERTO,53,34.05
HECTOR ALEJANDRO,53,37.98
JESUS MARIA,53,48.42
JUAN DAVID,53,39.3
MAYOLO,53,44.26
NAPOLEON,53,43.17
RUTILO,53,46.04
BARTOLOME,52,45.69
CARLOS ALFREDO,52,38.94
HECTOR EDUARDO,52,39.33
JESUS ADRIAN,52,33.67
JONAS,52,41.46
JORGE DAVID,52,37.81
JOSE ISMAEL,52,42.56
JOSE JOAQUIN,52,42.9
NATIVIDAD,52,44.02
OSCAR FERNANDO,52,37.81
TERESO,52,50.02
VICTOR DANIEL,52,35
VICTOR JAVIER,52,41.17
ASCENCION,51,48.77
CARLOS AUGUSTO,51,37.61
CARLOS OMAR,51,35
CESAR EDUARDO,51,35.06
CESAR ENRIQUE,51,38.55
DESIDERIO,51,46.16
HEBER,51,36.6
HERON,51,47.33
J. CARMEN,51,50.71
JENARO,51,46.08
JESUS RICARDO,51,39.18
JOSE RENE,51,43.12
JUAN JAIME,51,42.69
JULIO ANTONIO,51,41.49
MIGUEL ANG,51,45.92
RAMON ALBERTO,51,39.02
REYMUNDO,51,40.78
ARQUIMIDES,50,38.76
FILOGONIO,50,47.65
JESUS RAFAEL,50,42.02
JOSE GREGORIO,50,47.16
NEMESIO,50,47.68
OSCAR ENRIQUE,50,37.68
RITO,50,49.78
TAURINO,50,47.76
ELIEL,49,36.29
ENOC,49,40.92
HERACLIO,49,47.06
JESUS MARIO,49,42.16
JOSE ADAN,49,42.88
JOSE GUSTAVO,49,45.9
JUAN GUILLERMO,49,42.61
LEOVIGILDO,49,44.82
LUIS OCTAVIO,49,39.43
VICTOR MANUE,49,46.71
ABAD,48,44
BELISARIO,48,44.92
EVELIO,48,46.21
EVER,48,38.88
GUALBERTO,48,39.81
INDALECIO,48,49.17
J SANTOS,48,50.56
J TRINIDAD,48,52.92
JOSE EDGAR,48,36.85
JOSE NOE,48,42.23
JOSE SANTIAGO,48,42.02
MEDARDO,48,45.6
NICANOR,48,46.61
OSCAR IVAN,48,31.02
PAVEL,48,33.92
QUIRINO,48,46.38
RAMON ANTONIO,48,41.77
RAUL ANTONIO,48,42.1
SERGIO LUIS,48,35.71
VICTOR MANU,48,47.77
VICTORIO,48,47.96
ANGEL ANTONIO,47,40.21
CARLOS GERARDO,47,41.57
CARLOS JESUS,47,36.74
CUITLAHUAC,47,40.23
EDGAR MANUEL,47,36.11
GRACIANO,47,46.94
JAVIER ANTONIO,47,40.3
JORGE GUADALUPE,47,43.74
JOSE ASCENCION,47,47.7
JOSE HECTOR,47,43.52
JUAN FELIPE,47,42.87
JUAN SALVADOR,47,34.38
MARTIN DE JESUS,47,43.62
PAULO CESAR,47,35.04
PEDRO LUIS,47,42.12
VICTOR JESUS,47,37.62
CESAR ARMANDO,46,39.24
CRESCENCIANO,46,46.54
CRISANTO,46,46.7
HEBERTO,46,44.09
J CRUZ,46,50.33
JAIME ANTONIO,46,45.22
JORDAN,46,43.28
JOSE BENITO,46,45.28
JOSE BENJAMIN,46,45.87
JOSE ISIDRO,46,44.26
LAURENCIO,46,47.39
LEOCADIO,46,46.89
LUIS JESUS,46,41.02
MARIO CESAR,46,38.98
PEDRO JOSE,46,43.5
REGULO,46,46.41
RICARDO ALBERTO,46,38.07
SOCRATES,46,39.24
ELIAZAR,45,46.9
FRANCISCO DE JESUS,45,37.02
FRANCISCO MARTIN,45,45.22
JAIME ENRIQUE,45,42.73
JORGE ADRIAN,45,36.98
JOSE JULIO,45,45.31
JOSE LORENZO,45,46.33
JOSE RAMIRO,45,42.27
JUAN RAUL,45,42.87
MIGUEL A,45,49.18
OVIDIO,45,42.49
ROBERTO ANTONIO,45,38.71
JESUS EMMANUEL,44,28.14
JORGE OCTAVIO,44,41.04
JOSAFAT,44,45.96
JOSE JOEL,44,45.93
JOSE MARCOS,44,46.48
LUIS JORGE,44,43.25
MARCO POLO,44,37.31
RAUL ALEJANDRO,44,33.39
SAULO,44,40.41
AGAPITO,43,48.91
HECTOR JESUS,43,37.37
HUGO ALEJANDRO,43,35.98
ISAEL,43,37.77
JESUS ISRAEL,43,34
JOSE SERGIO,43,47
JUAN RAFAEL,43,43.44
LAURENTINO,43,48.16
OSCAR ANTONIO,43,38.47
OSCAR ARTURO,43,38.05
PRUDENCIO,43,49.51
RAUL ALBERTO,43,39.98
VICTOR ALEJANDRO,43,37.3
EUTIQUIO,42,48.4
FRANCISCO JESUS,42,39.71
JORGE MARIO,42,41.5
JORGE OMAR,42,36.86
JOSE DE LA LUZ,42,49.95
JOSE NICOLAS,42,45.14
JOSE TOMAS,42,48.14
MANUEL ANGEL,42,46.98
OSCAR OMAR,42,33.02
PAULO,42,44.05
POLICARPO,42,48.88
RAFAEL ANTONIO,42,38.76
SIGIFREDO,42,47.6
CARLOS RENE,41,40.95
EDEL,41,39.02
ENEDINO,41,45.29
EUTIMIO,41,47.17
JOSE FELICIANO,41,37.85
JUAN CARLO,41,39.88
MARIO EDUARDO,41,37.12
MELESIO,41,50.34
OTHON,41,48.17
RICARDO ANTONIO,41,40.8
WILFREDO,41,40.34
YAIR,41,30.54
ARSENIO,40,46.15
CARLOS DAVID,40,36.73
CARLOS RAMON,40,41.54
CESAR ARTURO,40,36.65
EPIGMENIO,40,46.6
EUSTAQUIO,40,49.33
